depth,weight on bit
130-135,17.83
135-140,19.33
140-145,19.23
145-150,18.81
150-155,16.43
155-160,12.85
160-165,12.79
165-170,10.83
170-175,9.14
175-180,0.58
180-185,0.58
185-190,0.57
190-195,0.57
195-200,0.56
200-205,0.55
205-210,0.55
210-215,0.54
215-220,0.54
220-225,0.53
225-230,0.53
230-235,0.52
235-240,0.52
240-245,0.51
245-250,0.51
250-255,0.50
255-260,0.50
260-265,0.49
265-270,0.48
270-275,0.48
275-280,0.47
280-285,0.47
285-290,0.46
290-295,0.46
295-300,0.45
300-305,0.45
305-310,0.44
310-315,0.44
315-320,0.43
320-325,0.43
325-330,0.42
330-335,0.41
335-340,0.41
340-345,0.40
345-350,0.40
350-355,0.39
355-360,0.39
360-365,0.38
365-370,0.38
370-375,0.37
375-380,0.37
380-385,0.36
385-390,0.36
390-395,0.53
395-400,0.58
400-405,0.57
405-410,0.56
410-415,0.55
415-420,0.54
420-425,0.53
425-430,0.52
430-435,0.52
435-440,0.51
440-445,0.50
445-450,0.49
450-455,0.48
455-460,0.47
460-465,0.46
465-470,0.45
470-475,0.44
475-480,0.43
480-485,0.43
485-490,0.42
490-495,0.41
495-500,0.40
500-505,0.39
505-510,0.38
510-515,0.37
515-520,0.36
520-525,0.35
525-530,0.34
530-535,0.33
535-540,0.33
540-545,0.32
545-550,0.31
550-555,0.30
555-560,0.29
560-565,0.28
565-570,0.27
570-575,0.26
575-580,0.25
580-585,0.24
585-590,0.44
590-595,4.73
595-600,7.87
600-605,15.05
605-610,13.77
610-615,20.28
615-620,16.88
620-625,15.75
625-630,15.09
630-635,12.46
635-640,15.23
640-645,17.54
645-650,15.35
650-655,15.47
655-660,12.47
660-665,15.25
665-670,10.15
670-675,5.42
675-680,10.34
680-685,11.28
685-690,13.70
690-695,15.19
695-700,10.33
700-705,10.07
705-710,11.56
710-715,12.21
715-720,14.40
720-725,11.27
725-730,15.02
730-735,6.73
735-740,12.33
740-745,12.66
745-750,7.72
750-755,13.57
755-760,12.49
760-765,17.10
765-770,17.16
770-775,6.31
775-780,7.87
780-785,14.81
785-790,13.28
790-795,20.23
795-800,16.95
800-805,18.41
805-810,18.38
810-815,14.85
815-820,18.55
820-825,18.74
825-830,15.35
830-835,10.20
835-840,13.18
840-845,14.01
845-850,15.92
850-855,21.02
855-860,21.61
860-865,19.85
865-870,18.17
870-875,21.39
875-880,20.55
880-885,19.63
885-890,20.39
890-895,18.90
895-900,19.24
900-905,20.80
905-910,20.87
910-915,21.35
915-920,19.78
920-925,20.83
925-930,14.98
930-935,14.79
935-940,17.25
940-945,8.99
945-950,7.17
950-955,9.46
955-960,6.20
960-965,16.44
965-970,13.85
970-975,16.89
975-980,17.67
980-985,19.72
985-990,21.44
990-995,12.06
995-1000,14.14
1000-1005,17.92
1005-1010,8.03
1010-1015,8.18
1015-1020,10.67
1020-1025,12.11
1025-1030,10.95
1030-1035,15.29
1035-1040,13.12
1040-1045,20.70
1045-1050,22.05
1050-1055,22.41
1055-1060,4.01
1060-1065,10.96
1065-1070,15.04
1070-1075,22.73
1075-1080,22.24
1080-1085,20.15
1085-1090,27.08
1090-1095,21.50
1095-1100,17.24
1100-1105,10.77
1105-1110,16.15
1110-1115,16.52
1115-1120,9.10
1120-1125,10.37
1125-1130,10.62
1130-1135,10.02
1135-1140,16.41
1140-1145,7.03
1145-1150,16.24
1150-1155,13.86
1155-1160,18.75
1160-1165,17.36
1165-1170,13.77
1170-1175,27.75
1175-1180,32.27
1180-1185,34.32
1185-1190,27.72
1190-1195,23.05
1195-1200,10.82
1200-1205,6.65
1205-1210,5.36
1210-1215,6.33
1215-1220,7.66
1220-1225,12.06
1225-1230,10.93
1230-1235,10.85
1235-1240,10.51
1240-1245,10.31
1245-1250,13.90
1250-1255,14.58
1255-1260,16.33
1260-1265,12.66
1265-1270,12.76
1270-1275,12.19
1275-1280,11.32
1280-1285,12.88
1285-1290,13.38
1290-1295,13.11
1295-1300,11.74
1300-1305,12.92
1305-1310,13.94
1310-1315,11.78
1315-1320,11.73
1320-1325,12.82
1325-1330,12.87
1330-1335,15.53
1335-1340,10.23
1340-1345,6.02
1345-1350,8.29
1350-1355,11.35
1355-1360,12.80
1360-1365,13.04
1365-1370,11.08
1370-1375,11.23
1375-1380,8.42
1380-1385,8.31
1385-1390,8.24
1390-1395,9.74
1395-1400,7.67
1400-1405,4.48
1405-1410,6.49
1410-1415,4.66
1415-1420,2.14
1420-1425,3.45
1425-1430,6.47
1430-1435,8.18
1435-1440,6.57
1440-1445,8.19
1445-1450,8.22
1450-1455,9.54
1455-1460,7.49
1460-1465,8.91
1465-1470,9.91
1470-1475,9.98
1475-1480,9.36
1480-1485,7.91
1485-1490,9.35
1490-1495,11.94
1495-1500,12.02
1500-1505,11.37
1505-1510,11.54
1510-1515,6.71
1515-1520,2.29
1520-1525,11.28
1525-1530,11.23
1530-1535,7.71
1535-1540,6.99
1540-1545,7.10
1545-1550,7.80
1550-1555,11.21
1555-1560,10.33
1560-1565,11.04
1565-1570,13.62
1570-1575,11.38
1575-1580,6.05
1580-1585,14.99
1585-1590,14.38
1590-1595,12.81
1595-1600,10.68
1600-1605,12.36
1605-1610,8.16
1610-1615,10.88
1615-1620,15.02
1620-1625,8.77
1625-1630,8.96
1630-1635,20.09
1635-1640,20.56
1640-1645,21.81
1645-1650,6.69
1650-1655,4.42
1655-1660,7.01
1660-1665,8.20
1665-1670,8.82
1670-1675,6.36
1675-1680,6.12
1680-1685,6.30
1685-1690,7.19
1690-1695,8.45
1695-1700,8.34
1700-1705,8.26
1705-1710,5.32
1710-1715,4.68
1715-1720,3.33
1720-1725,4.95
1725-1730,6.75
1730-1735,5.55
1735-1740,5.00
1740-1745,5.27
1745-1750,5.43
1750-1755,4.95
1755-1760,3.05
1760-1765,4.39
1765-1770,6.26
1770-1775,7.68
1775-1780,6.80
1780-1785,5.11
1785-1790,3.63
1790-1795,3.43
1795-1800,3.67
1800-1805,5.81
1805-1810,10.06
1810-1815,3.47
1815-1820,4.93
1820-1825,6.05
1825-1830,4.89
1830-1835,3.98
1835-1840,4.43
1840-1845,4.78
1845-1850,3.54
1850-1855,3.34
1855-1860,4.31
1860-1865,4.89
1865-1870,5.53
1870-1875,5.25
1875-1880,2.58
1880-1885,2.66
1885-1890,3.56
1890-1895,4.14
1895-1900,5.26
1900-1905,4.82
1905-1910,8.55
1910-1915,6.44
1915-1920,4.73
1920-1925,5.05
1925-1930,5.79
1930-1935,4.96
1935-1940,9.35
1940-1945,11.88
1945-1950,8.39
1950-1955,7.20
1955-1960,5.00
1960-1965,5.40
1965-1970,4.91
1970-1975,4.70
1975-1980,8.45
1980-1985,8.35
1985-1990,7.67
1990-1995,6.29
1995-2000,5.36
2000-2005,3.88
2005-2010,6.68
2010-2015,8.78
2015-2020,10.40
2020-2025,12.03
2025-2030,11.71
2030-2035,4.85
2035-2040,4.16
2040-2045,7.04
2045-2050,9.20
2050-2055,9.14
2055-2060,7.15
2060-2065,8.38
2065-2070,13.72
2070-2075,15.24
2075-2080,15.71
2080-2085,16.63
2085-2090,14.95
2090-2095,7.56
2095-2100,4.20
2100-2105,6.16
2105-2110,5.64
2110-2115,8.43
2115-2120,8.26
2120-2125,7.01
2125-2130,8.59
2130-2135,8.72
2135-2140,7.11
2140-2145,8.70
2145-2150,6.78
2150-2155,5.37
2155-2160,6.76
2160-2165,6.32
2165-2170,7.49
2170-2175,7.33
2175-2180,9.91
2180-2185,10.55
2185-2190,9.24
2190-2195,7.82
2195-2200,6.30
2200-2205,7.35
2205-2210,7.64
2210-2215,9.35
2215-2220,9.77
2220-2225,8.24
2225-2230,7.76
2230-2235,10.28
2235-2240,4.69
2240-2245,5.37
2245-2250,5.85
2250-2255,8.27
2255-2260,7.31
2260-2265,8.12
2265-2270,7.14
2270-2275,7.33
2275-2280,8.48
2280-2285,9.59
2285-2290,9.99
2290-2295,8.87
2295-2300,8.12
2300-2305,9.95
2305-2310,7.38
2310-2315,7.68
2315-2320,7.29
2320-2325,7.86
2325-2330,8.35
2330-2335,8.17
2335-2340,8.87
2340-2345,7.91
2345-2350,8.32
2350-2355,8.03
2355-2360,7.52
2360-2365,7.90
2365-2370,7.61
2370-2375,2.99
2375-2380,6.49
2380-2385,4.37
2385-2390,7.41
2390-2395,6.83
2395-2400,8.26
2400-2405,7.65
2405-2410,9.19
2410-2415,7.60
2415-2420,8.59
2420-2425,8.70
2425-2430,7.03
2430-2435,10.31
2435-2440,9.74
2440-2445,6.24
2445-2450,9.70
2450-2455,7.81
2455-2460,11.58
2460-2465,9.48
2465-2470,10.39
2470-2475,11.30
2475-2480,11.86
2480-2485,11.67
2485-2490,11.99
2490-2495,11.21
2495-2500,11.60
2500-2505,11.51
2505-2510,10.53
2510-2515,9.04
2515-2520,11.07
2520-2525,10.47
2525-2530,11.99
2530-2535,11.71
2535-2540,9.79
2540-2545,12.02
2545-2550,12.01
2550-2555,12.04
2555-2560,8.15
2560-2565,12.24
2565-2570,12.61
2570-2575,12.05
2575-2580,11.49
2580-2585,12.02
2585-2590,11.87
2590-2595,11.90
2595-2600,12.02
2600-2605,12.02
2605-2610,9.40
2610-2615,11.82
2615-2620,10.00
2620-2625,11.54
2625-2630,11.61
2630-2635,10.96
2635-2640,11.65
2640-2645,12.54
2645-2650,14.64
2650-2655,15.55
2655-2660,20.75
2660-2665,20.68
2665-2670,19.65
2670-2675,21.47
2675-2680,17.75
2680-2685,16.46
2685-2690,18.45
2690-2695,23.47
2695-2700,23.61
2700-2705,27.61
2705-2710,29.96
2710-2715,27.45
2715-2720,25.30
2720-2725,26.41
2725-2730,26.75
2730-2735,29.48
2735-2740,30.77
2740-2745,29.41
2745-2750,28.75
2750-2755,30.29
2755-2760,30.04
2760-2765,33.16
2765-2770,34.00
2770-2775,34.03
2775-2780,34.09
2780-2785,34.03
2785-2790,33.74
2790-2795,33.84
2795-2800,18.06
2800-2805,32.67
2805-2810,33.33
2810-2815,34.33
2815-2820,32.06
2820-2825,35.16
2825-2830,34.81
2830-2835,35.11
2835-2840,31.87
2840-2845,31.21
2845-2850,32.78
2850-2855,34.16
2855-2860,34.19
2860-2865,32.25
2865-2870,33.38
2870-2875,34.04
2875-2880,34.00
2880-2885,34.00
2885-2890,34.02
2890-2895,34.02
2895-2900,33.93
2900-2905,29.03
2905-2910,37.16
2910-2915,40.30
2915-2920,40.68
2920-2925,40.18
2925-2930,36.02
2930-2935,34.43
2935-2940,33.13
2940-2945,33.38
2945-2950,33.30
2950-2955,33.45
2955-2960,31.38
2960-2965,30.95
2965-2970,31.14
2970-2975,33.91
2975-2980,35.28
2980-2985,35.16
2985-2990,35.16
2990-2995,35.13
2995-3000,34.98
3000-3005,33.70
3005-3010,34.31
3010-3015,34.28
3015-3020,34.42
3020-3025,34.18
3025-3030,34.00
3030-3035,34.00
3035-3040,33.76
3040-3045,32.32
3045-3050,34.92
3050-3055,36.83
3055-3060,35.76
3060-3065,30.76
3065-3070,36.45
3070-3075,34.61
3075-3080,35.74
3080-3085,34.06
3085-3090,35.36
3090-3095,33.40
3095-3100,34.70
3100-3105,37.53
3105-3110,37.50
3110-3115,35.90
3115-3120,37.67
3120-3125,37.95
3125-3130,35.99
3130-3135,37.26
3135-3140,35.20
3140-3145,37.39
3145-3150,34.03
3150-3155,30.84
3155-3160,31.66
3160-3165,30.44
3165-3170,28.80
3170-3175,31.28
3175-3180,30.66
3180-3185,31.66
3185-3190,31.22
3190-3195,31.82
3195-3200,31.89
3200-3205,32.08
3205-3210,31.65
3210-3215,30.97
3215-3220,31.98
3220-3225,30.97
3225-3230,32.29
3230-3235,32.38
3235-3240,33.40
3240-3245,33.76
3245-3250,34.01
3250-3255,34.00
3255-3260,34.01
3260-3265,33.75
3265-3270,33.98
3270-3275,34.00
3275-3280,34.14
3280-3285,33.98
3285-3290,33.35
3290-3295,33.35
3295-3300,33.73
3300-3305,33.13
3305-3310,33.80
3310-3315,33.31
3315-3320,33.64
3320-3325,33.75
3325-3330,33.41
3330-3335,33.86
3335-3340,33.75
3340-3345,32.87
3345-3350,32.28
3350-3355,34.00
3355-3360,32.49
3360-3365,33.43
3365-3370,34.01
3370-3375,29.44
3375-3380,33.86
3380-3385,32.84
3385-3390,32.10
3390-3395,31.50
3395-3400,34.00
3400-3405,32.65
3405-3410,33.99
3410-3415,33.75
3415-3420,34.00
3420-3425,35.80
3425-3430,37.97
3430-3435,37.97
3435-3440,37.97
3440-3445,37.94
3445-3450,37.96
3450-3455,37.64
3455-3460,37.72
3460-3465,36.07
3465-3470,37.54
3470-3475,37.12
3475-3480,37.03
3480-3485,37.74
3485-3490,34.46
3490-3495,35.41
3495-3500,37.25
3500-3505,36.90
3505-3510,37.59
3510-3515,36.94
3515-3520,34.03
3520-3525,37.90
3525-3530,37.97
3530-3535,37.97
3535-3540,37.44
3540-3545,36.47
3545-3550,38.51
3550-3555,40.07
3555-3560,39.79
3560-3565,38.73
3565-3570,39.82
3570-3575,39.46
3575-3580,38.67
3580-3585,39.48
3585-3590,39.53
3590-3595,40.05
3595-3600,39.23
3600-3605,38.22
3605-3610,36.17
3610-3615,36.93
3615-3620,39.71
3620-3625,38.96
3625-3630,38.64
3630-3635,40.03
3635-3640,40.01
3640-3645,40.02
3645-3650,40.04
3650-3655,40.02
3655-3660,39.51
3660-3665,39.67
3665-3670,35.84
3670-3675,37.45
3675-3680,39.73
3680-3685,40.01
3685-3690,39.67
3690-3695,39.07
3695-3700,39.44
3700-3705,39.91
3705-3710,39.93
3710-3715,40.07
3715-3720,39.78
3720-3725,40.07
3725-3730,40.04
3730-3735,36.90
3735-3740,29.57
3740-3745,35.90
3745-3750,40.07
3750-3755,40.07
3755-3760,39.15
3760-3765,35.96
3765-3770,37.20
3770-3775,38.18
3775-3780,38.25
3780-3785,34.88
3785-3790,38.50
3790-3795,40.03
3795-3800,39.71
3800-3805,31.27
3805-3810,38.59
3810-3815,40.04
3815-3820,39.00
3820-3825,39.29
3825-3830,40.07
3830-3835,40.07
3835-3840,38.57
3840-3845,30.58
3845-3850,35.56
3850-3855,36.73
3855-3860,40.02
3860-3865,40.07
3865-3870,39.37
3870-3875,39.68
3875-3880,40.02
3880-3885,38.73
3885-3890,39.94
3890-3895,29.97
3895-3900,29.95
3900-3905,34.80
3905-3910,35.12
3910-3915,35.16
3915-3920,35.14
3920-3925,35.16
3925-3930,35.16
3930-3935,35.16
3935-3940,32.26
3940-3945,35.16
3945-3950,35.16
3950-3955,35.16
3955-3960,33.58
3960-3965,35.16
3965-3970,35.12
3970-3975,35.16
3975-3980,35.11
3980-3985,35.16
3985-3990,35.00
3990-3995,34.97
3995-4000,35.14
4000-4005,35.16
4005-4010,35.16
